tsn	tsn_accepted
4826627	
4572052	
4830230	
4831240	
4831754	
4832951	
4826607	
4835850	
4833008	
4825366	
4835819	
4826526	
3239863	
4834397	
4831239	
4826501	
4825446	
4826546	
4830679	
4834384	
7237048	
4831579	
4826317	
4830268	
4832748	
3239423	
4830240	
4832752	
4830218	
4826359	
4825411	
4829666	
4834074	
4829704	
4834042	
4831226	
4830763	
4574108	
4830680	
4826639	
4572283	
4833030	
4825558	
4830226	
4825565	
4832990	
4825664	
3239965	
4825419	
4826619	
4831284	
4826637	
4831230	
4829732	
4829674	
3240513	
3239992	
4826929	
4825590	
4825507	
4832242	
3240763	
4826595	
4826498	
4826919	
4830856	
8963048	7262050
9085235	7262050
8730831	7262050
4826471	
4829649	
4825436	
4830677	
4834565	
4834292	
4834106	
4830889	
4830861	
4834661	
4834395	
7237046	
4833033	
4825355	
3240069	
4826497	
4832950	
4834113	
4832239	
4834233	
4826468	
4832981	
4826987	
4825453	
4832870	
4831748	
4830216	
4834049	
4830704	
4825433	
4835827	
4827778	
4835910	
5428956	
4834293	
4832920	
4833050	
7237038	
7237042	
4831105	
4825321	
4831221	
4832247	
3239825	
4834059	
4825822	
4833027	
4834107	
4577707	
5428927	
4834037	
4831007	
4829786	
4829648	
3239777	
4825538	
4832884	
4834021	
4825814	
9603258	
7720936	
4572782	
4834105	
4834389	
7977671	
4832974	
4829787	
4825326	
4825580	
4826521	
4826338	
4832917	
4831488	
4830710	
4835852	
4835881	
4829646	
4826469	
4831182	
4832866	
4975029	
4826624	
3239489	
4832912	
4832936	
4572908	
9212291	
4825561	
4826319	
9482151	
4832902	
4825503	
4577799	
4830217	
3239864	
4826951	
4830818	
3239822	
4834040	
4830244	
7237031	
4826933	
4825410	
4829697	
4572659	
4576483	
4578197	
4831747	
4826713	
4831257	
4826679	
4829744	
4830826	
4831189	
4830243	
4826494	
4825573	
4832966	
4829673	
4576692	
4835862	
4826702	
4832897	
4575751	
4827779	
4826455	
4825407	
