taxon_id	taxon_name	tree_name
196	Tarsius dianae	mammalST_bestDates.dnd
197	Tarsius pumilus	mammalST_bestDates.dnd
198	Tarsius spectrum	mammalST_bestDates.dnd
199	Tarsius syrichta	mammalST_bestDates.dnd
200	Dendrogale melanura	mammalST_bestDates.dnd
201	Dendrogale murina	mammalST_bestDates.dnd
202	Tupaia belangeri	mammalST_bestDates.dnd
203	Tupaia chrysogaster	mammalST_bestDates.dnd
204	Tupaia dorsalis	mammalST_bestDates.dnd
205	Tupaia glis	mammalST_bestDates.dnd
206	Tupaia gracilis	mammalST_bestDates.dnd
207	Tupaia javanica	mammalST_bestDates.dnd
208	Tupaia longipes	mammalST_bestDates.dnd
209	Tupaia minor	mammalST_bestDates.dnd
210	Tupaia montana	mammalST_bestDates.dnd
211	Tupaia nicobarica	mammalST_bestDates.dnd
212	Tupaia palawanensis	mammalST_bestDates.dnd
213	Tupaia picta	mammalST_bestDates.dnd
214	Tupaia splendidula	mammalST_bestDates.dnd
215	Tupaia tana	mammalST_bestDates.dnd
216	Equus caballus	mammalST_bestDates.dnd
217	Manis javanica	mammalST_bestDates.dnd
218	Manis gigantea	mammalST_bestDates.dnd
219	Manis temminckii	mammalST_bestDates.dnd
220	Manis tetradactyla	mammalST_bestDates.dnd
221	Manis tricuspis	mammalST_bestDates.dnd
222	Paranyctimene raptor	mammalST_bestDates.dnd
223	Sphaerias blanfordi	mammalST_bestDates.dnd
224	Boneia bidens	mammalST_bestDates.dnd
225	Rousettus angolensis	mammalST_bestDates.dnd
226	Megaloglossus woermanni	mammalST_bestDates.dnd
227	Mystacina tuberculata	mammalST_bestDates.dnd
228	Desmana moschata	mammalST_bestDates.dnd
229	Galemys pyrenaicus	mammalST_bestDates.dnd
230	Diplomesodon pulchellum	mammalST_bestDates.dnd
231	Feroculus feroculus	mammalST_bestDates.dnd
232	Ruwenzorisorex suncoides	mammalST_bestDates.dnd
233	Scutisorex somereni	mammalST_bestDates.dnd
234	Solisorex pearsoni	mammalST_bestDates.dnd
235	Congosorex polli	mammalST_bestDates.dnd
236	Aepyprymnus rufescens	mammalST_bestDates.dnd
237	Lasiorhinus krefftii	mammalST_bestDates.dnd
238	Lasiorhinus latifrons	mammalST_bestDates.dnd
239	Sminthopsis laniger	mammalST_bestDates.dnd
240	Planigale maculata	mammalST_bestDates.dnd
241	Didelphis virginiana	mammalST_bestDates.dnd
242	Philander andersoni	mammalST_bestDates.dnd
243	Philander opossum	mammalST_bestDates.dnd
244	Gracilinanus agilis	mammalST_bestDates.dnd
245	Gracilinanus microtarsus	mammalST_bestDates.dnd
246	Pedetes capensis	mammalST_bestDates.dnd
247	Castor canadensis	mammalST_bestDates.dnd
248	Castor fiber	mammalST_bestDates.dnd
249	Octodon bridgesi	mammalST_bestDates.dnd
250	Octodon lunatus	mammalST_bestDates.dnd
251	Octodon degus	mammalST_bestDates.dnd
252	Felovia vae	mammalST_bestDates.dnd
253	Tympanoctomys barrerae	mammalST_bestDates.dnd
254	Octomys mimax	mammalST_bestDates.dnd
255	Spalacopus cyanus	mammalST_bestDates.dnd
256	Octodontomys gliroides	mammalST_bestDates.dnd
257	Aconaemys sagei	mammalST_bestDates.dnd
258	Aconaemys fuscus	mammalST_bestDates.dnd
259	Myoxus glis	mammalST_bestDates.dnd
260	Glirulus japonicus	mammalST_bestDates.dnd
261	Graphiurus hueti	mammalST_bestDates.dnd
262	Pronolagus crassicaudatus	mammalST_bestDates.dnd
263	Pronolagus rupestris	mammalST_bestDates.dnd
264	Ochotona himalayana	mammalST_bestDates.dnd
265	Ochotona nubrica	mammalST_bestDates.dnd
266	Ochotona curzoniae	mammalST_bestDates.dnd
267	Ochotona dauurica	mammalST_bestDates.dnd
268	Phaner furcifer	mammalST_bestDates.dnd
269	Galagoides zanzibaricus	mammalST_bestDates.dnd
270	Camelus bactrianus	mammalST_bestDates.dnd
271	Camelus dromedarius	mammalST_bestDates.dnd
272	Dicerorhinus sumatrensis	mammalST_bestDates.dnd
273	Tapirus indicus	mammalST_bestDates.dnd
274	Equus asinus	mammalST_bestDates.dnd
275	Equus hemionus	mammalST_bestDates.dnd
276	Manis crassicaudata	mammalST_bestDates.dnd
277	Manis pentadactyla	mammalST_bestDates.dnd
278	Alionycteris paucidentata	mammalST_bestDates.dnd
279	Latidens salimalii	mammalST_bestDates.dnd
280	Aethalops alecto	mammalST_bestDates.dnd
281	Dyacopterus spadiceus	mammalST_bestDates.dnd
282	Eidolon helvum	mammalST_bestDates.dnd
283	Eidolon dupreanum	mammalST_bestDates.dnd
284	Myonycteris relicta	mammalST_bestDates.dnd
285	Myonycteris brachycephala	mammalST_bestDates.dnd
286	Myonycteris torquata	mammalST_bestDates.dnd
287	Rousettus lanosus	mammalST_bestDates.dnd
288	Plerotes anchietai	mammalST_bestDates.dnd
289	Craseonycteris thonglongyai	mammalST_bestDates.dnd
290	Thyroptera discifera	mammalST_bestDates.dnd
291	Thyroptera tricolor	mammalST_bestDates.dnd
292	Tomopeas ravus	mammalST_bestDates.dnd
293	Scaptonyx fusicaudus	mammalST_bestDates.dnd
294	Condylura cristata	mammalST_bestDates.dnd
295	Echinosorex gymnura	mammalST_bestDates.dnd
296	Hylomys suillus	mammalST_bestDates.dnd
297	Mesechinus dauuricus	mammalST_bestDates.dnd
298	Mesechinus hughi	mammalST_bestDates.dnd
299	Crocidura aleksandrisi	mammalST_bestDates.dnd
300	Crocidura allex	mammalST_bestDates.dnd
301	Crocidura andamanensis	mammalST_bestDates.dnd
302	Crocidura ansellorum	mammalST_bestDates.dnd
303	Crocidura arabica	mammalST_bestDates.dnd
304	Crocidura armenica	mammalST_bestDates.dnd
305	Crocidura attenuata	mammalST_bestDates.dnd
306	Crocidura attila	mammalST_bestDates.dnd
307	Crocidura baileyi	mammalST_bestDates.dnd
308	Crocidura batesi	mammalST_bestDates.dnd
309	Crocidura beatus	mammalST_bestDates.dnd
310	Crocidura beccarii	mammalST_bestDates.dnd
311	Crocidura bottegi	mammalST_bestDates.dnd
312	Crocidura bottegoides	mammalST_bestDates.dnd
313	Crocidura buettikoferi	mammalST_bestDates.dnd
314	Crocidura caliginea	mammalST_bestDates.dnd
315	Crocidura canariensis	mammalST_bestDates.dnd
316	Crocidura cinderella	mammalST_bestDates.dnd
317	Crocidura congobelgica	mammalST_bestDates.dnd
318	Crocidura cossyrensis	mammalST_bestDates.dnd
319	Crocidura crenata	mammalST_bestDates.dnd
320	Crocidura crossei	mammalST_bestDates.dnd
321	Crocidura cyanea	mammalST_bestDates.dnd
322	Crocidura denti	mammalST_bestDates.dnd
323	Crocidura desperata	mammalST_bestDates.dnd
324	Crocidura dhofarensis	mammalST_bestDates.dnd
325	Crocidura dolichura	mammalST_bestDates.dnd
326	Crocidura douceti	mammalST_bestDates.dnd
327	Crocidura dsinezumi	mammalST_bestDates.dnd
328	Crocidura eisentrauti	mammalST_bestDates.dnd
329	Crocidura elgonius	mammalST_bestDates.dnd
330	Crocidura elongata	mammalST_bestDates.dnd
331	Crocidura erica	mammalST_bestDates.dnd
332	Crocidura fischeri	mammalST_bestDates.dnd
333	Crocidura flavescens	mammalST_bestDates.dnd
334	Crocidura floweri	mammalST_bestDates.dnd
335	Crocidura foxi	mammalST_bestDates.dnd
336	Crocidura fuliginosa	mammalST_bestDates.dnd
337	Crocidura fulvastra	mammalST_bestDates.dnd
338	Crocidura fumosa	mammalST_bestDates.dnd
339	Crocidura fuscomurina	mammalST_bestDates.dnd
340	Crocidura glassi	mammalST_bestDates.dnd
341	Crocidura goliath	mammalST_bestDates.dnd
342	Crocidura gracilipes	mammalST_bestDates.dnd
343	Crocidura grandiceps	mammalST_bestDates.dnd
344	Crocidura grandis	mammalST_bestDates.dnd
345	Crocidura grassei	mammalST_bestDates.dnd
346	Crocidura grayi	mammalST_bestDates.dnd
347	Crocidura greenwoodi	mammalST_bestDates.dnd
348	Crocidura gueldenstaedtii	mammalST_bestDates.dnd
349	Crocidura harenna	mammalST_bestDates.dnd
350	Crocidura hildegardeae	mammalST_bestDates.dnd
351	Crocidura hirta	mammalST_bestDates.dnd
352	Crocidura hispida	mammalST_bestDates.dnd
353	Crocidura horsfieldii	mammalST_bestDates.dnd
354	Crocidura jacksoni	mammalST_bestDates.dnd
355	Crocidura jenkinsi	mammalST_bestDates.dnd
356	Crocidura kivuana	mammalST_bestDates.dnd
357	Crocidura lamottei	mammalST_bestDates.dnd
358	Crocidura lanosa	mammalST_bestDates.dnd
359	Crocidura lasiura	mammalST_bestDates.dnd
360	Crocidura latona	mammalST_bestDates.dnd
361	Crocidura lea	mammalST_bestDates.dnd
362	Crocidura leucodon	mammalST_bestDates.dnd
363	Crocidura levicula	mammalST_bestDates.dnd
364	Crocidura littoralis	mammalST_bestDates.dnd
365	Crocidura longipes	mammalST_bestDates.dnd
366	Crocidura lucina	mammalST_bestDates.dnd
367	Crocidura ludia	mammalST_bestDates.dnd
368	Crocidura luna	mammalST_bestDates.dnd
369	Crocidura lusitania	mammalST_bestDates.dnd
370	Crocidura macarthuri	mammalST_bestDates.dnd
371	Crocidura macmillani	mammalST_bestDates.dnd
372	Crocidura macowi	mammalST_bestDates.dnd
373	Crocidura malayana	mammalST_bestDates.dnd
374	Crocidura manengubae	mammalST_bestDates.dnd
375	Crocidura maquassiensis	mammalST_bestDates.dnd
376	Crocidura mariquensis	mammalST_bestDates.dnd
377	Crocidura maurisca	mammalST_bestDates.dnd
378	Crocidura maxi	mammalST_bestDates.dnd
379	Crocidura mindorus	mammalST_bestDates.dnd
380	Crocidura minuta	mammalST_bestDates.dnd
381	Crocidura miya	mammalST_bestDates.dnd
382	Crocidura monax	mammalST_bestDates.dnd
383	Crocidura monticola	mammalST_bestDates.dnd
384	Crocidura montis	mammalST_bestDates.dnd
385	Crocidura muricauda	mammalST_bestDates.dnd
386	Crocidura mutesae	mammalST_bestDates.dnd
387	Crocidura nana	mammalST_bestDates.dnd
388	Crocidura nanilla	mammalST_bestDates.dnd
389	Crocidura neglecta	mammalST_bestDates.dnd
390	Crocidura negrina	mammalST_bestDates.dnd
391	Crocidura nicobarica	mammalST_bestDates.dnd
392	Crocidura nigeriae	mammalST_bestDates.dnd
393	Crocidura nigricans	mammalST_bestDates.dnd
394	Crocidura nigripes	mammalST_bestDates.dnd
395	Crocidura nigrofusca	mammalST_bestDates.dnd
396	Crocidura nimbae	mammalST_bestDates.dnd
397	Crocidura niobe	mammalST_bestDates.dnd
398	Crocidura obscurior	mammalST_bestDates.dnd
399	Crocidura olivieri	mammalST_bestDates.dnd
400	Crocidura orii	mammalST_bestDates.dnd
401	Crocidura osorio	mammalST_bestDates.dnd
402	Crocidura palawanensis	mammalST_bestDates.dnd
403	Crocidura paradoxura	mammalST_bestDates.dnd
404	Crocidura parvipes	mammalST_bestDates.dnd
405	Crocidura pasha	mammalST_bestDates.dnd
406	Crocidura pergrisea	mammalST_bestDates.dnd
407	Crocidura phaeura	mammalST_bestDates.dnd
408	Crocidura picea	mammalST_bestDates.dnd
409	Crocidura pitmani	mammalST_bestDates.dnd
410	Crocidura planiceps	mammalST_bestDates.dnd
411	Crocidura poensis	mammalST_bestDates.dnd
412	Crocidura polia	mammalST_bestDates.dnd
413	Crocidura pullata	mammalST_bestDates.dnd
414	Crocidura raineyi	mammalST_bestDates.dnd
415	Crocidura religiosa	mammalST_bestDates.dnd
416	Crocidura rhoditis	mammalST_bestDates.dnd
417	Crocidura roosevelti	mammalST_bestDates.dnd
418	Crocidura russula	mammalST_bestDates.dnd
419	Crocidura selina	mammalST_bestDates.dnd
420	Crocidura serezkyensis	mammalST_bestDates.dnd
421	Crocidura sibirica	mammalST_bestDates.dnd
422	Crocidura sicula	mammalST_bestDates.dnd
423	Crocidura silacea	mammalST_bestDates.dnd
424	Crocidura smithii	mammalST_bestDates.dnd
425	Crocidura somalica	mammalST_bestDates.dnd
426	Crocidura stenocephala	mammalST_bestDates.dnd
427	Crocidura suaveolens	mammalST_bestDates.dnd
428	Crocidura susiana	mammalST_bestDates.dnd
429	Crocidura tansaniana	mammalST_bestDates.dnd
430	Crocidura tarella	mammalST_bestDates.dnd
431	Crocidura tarfayensis	mammalST_bestDates.dnd
432	Crocidura telfordi	mammalST_bestDates.dnd
433	Crocidura tenuis	mammalST_bestDates.dnd
434	Crocidura thalia	mammalST_bestDates.dnd
435	Crocidura theresae	mammalST_bestDates.dnd
436	Crocidura thomensis	mammalST_bestDates.dnd
437	Crocidura turba	mammalST_bestDates.dnd
438	Crocidura ultima	mammalST_bestDates.dnd
439	Crocidura usambarae	mammalST_bestDates.dnd
440	Crocidura viaria	mammalST_bestDates.dnd
441	Crocidura voi	mammalST_bestDates.dnd
442	Crocidura whitakeri	mammalST_bestDates.dnd
443	Crocidura wimmeri	mammalST_bestDates.dnd
444	Crocidura xantippe	mammalST_bestDates.dnd
445	Crocidura yankariensis	mammalST_bestDates.dnd
446	Crocidura zaphiri	mammalST_bestDates.dnd
447	Crocidura zarudnyi	mammalST_bestDates.dnd
448	Crocidura zimmeri	mammalST_bestDates.dnd
449	Crocidura zimmermanni	mammalST_bestDates.dnd
450	Myosorex babaulti	mammalST_bestDates.dnd
451	Myosorex blarina	mammalST_bestDates.dnd
452	Myosorex cafer	mammalST_bestDates.dnd
453	Myosorex eisentrauti	mammalST_bestDates.dnd
454	Myosorex geata	mammalST_bestDates.dnd
455	Myosorex longicaudatus	mammalST_bestDates.dnd
456	Myosorex okuensis	mammalST_bestDates.dnd
457	Myosorex rumpii	mammalST_bestDates.dnd
458	Myosorex schalleri	mammalST_bestDates.dnd
459	Myosorex sclateri	mammalST_bestDates.dnd
460	Myosorex tenuis	mammalST_bestDates.dnd
461	Myosorex varius	mammalST_bestDates.dnd
462	Paracrocidura graueri	mammalST_bestDates.dnd
463	Paracrocidura maxima	mammalST_bestDates.dnd
464	Paracrocidura schoutedeni	mammalST_bestDates.dnd
465	Suncus ater	mammalST_bestDates.dnd
466	Suncus dayi	mammalST_bestDates.dnd
467	Suncus etruscus	mammalST_bestDates.dnd
468	Suncus fellowesgordoni	mammalST_bestDates.dnd
469	Suncus hosei	mammalST_bestDates.dnd
470	Suncus infinitesimus	mammalST_bestDates.dnd
471	Suncus lixus	mammalST_bestDates.dnd
472	Suncus madagascariensis	mammalST_bestDates.dnd
473	Suncus malayanus	mammalST_bestDates.dnd
474	Suncus mertensi	mammalST_bestDates.dnd
475	Suncus montanus	mammalST_bestDates.dnd
476	Suncus murinus	mammalST_bestDates.dnd
477	Suncus remyi	mammalST_bestDates.dnd
478	Suncus stoliczkanus	mammalST_bestDates.dnd
479	Suncus varilla	mammalST_bestDates.dnd
480	Suncus zeylanicus	mammalST_bestDates.dnd
481	Surdisorex norae	mammalST_bestDates.dnd
482	Surdisorex polulus	mammalST_bestDates.dnd
483	Sylvisorex granti	mammalST_bestDates.dnd
484	Sylvisorex howelli	mammalST_bestDates.dnd
485	Sylvisorex isabellae	mammalST_bestDates.dnd
486	Sylvisorex johnstoni	mammalST_bestDates.dnd
487	Sylvisorex lunaris	mammalST_bestDates.dnd
488	Sylvisorex megalura	mammalST_bestDates.dnd
489	Sylvisorex morio	mammalST_bestDates.dnd
490	Sylvisorex ollula	mammalST_bestDates.dnd
491	Sylvisorex oriundus	mammalST_bestDates.dnd
