tsn	completename
8477784	Canis bengalensis
7660560	Artibeus fuliginosus
8293259	Phyllostoma obscurum
8519226	Pliauchenia hemphillensis
5816468	Macropus lunatus
8629619	Licaphrium pyramidatum
4969657	Indolophus guptai
4982257	Asmodeus scotti
8527941	Torcellia paranense
5936063	Leptolophus stehlini
2440912	Pudu mephistophiles
8534087	Symborodon bucco
8552423	Lophiotherium geiseltalensis
9132881	Nyctereutes koreensis
4971686	Adunator lehmani
8628091	Antifer niemeyeri
8630191	Megacerops assiniboiensis
8681784	Licaphrium granatum
4974034	Hapalodectes hetangensis
4974295	Oxyclaenus corax
8473389	Licaphrium intermissum
8928121	Ramapithecus brevirostris
5706851	Pteronotus davyi incae
7261696	Pteronotus davyi davyi
7261692	Pteronotus personatus personatus
8563926	Graphimys provectus
9467705	Megaceratops acer
8636205	Hapalodectes paleocenus
8527638	Eoprotherotherium inaequifacies
8793332	Diacodon minutus
4972101	Diacocherus meizon
4974298	Oxyclaenus subbituminus
4974039	Hapalodectes auctus
9509376	Triisodon assurgens
4971375	Elaschitotherium qii
4972807	Acarechimys minutissimus
9298530	Aelurodon brachygnathus
9260723	Asmodeus petrasnerus
8603328	Nanotitanops shanghuangensis
5816567	Platypus anatinus
8465533	Ornithorhynchus agilis
9333538	? rudis
9414874	Pachycynodon teilhardi
6165081	Potorous tridactylus apicalis
9251886	Didelphis tridactyla
7059511	Potorous tridactylus tridactylus
9533622	Hapalodectes huanghaiensis
8722431	Licaphrium pyneanum
4974036	Hapalodectes serus
4972527	Reithroparamys huerfanensis
9414067	Dissacus leptognathus
8638466	Proargyrolagus argentinus
9255262	Paramys delicatissimus
9335286	Tephrocyon confertus
8957877	Nyctereutes lockwoodi
2440911	Pudu puda
8513501	Acarechimys leucotheae
8572737	Epimanteoceras formosus
8617980	Mastonotus popelairi
4409269	Mus coypus
7259294	Myocastor coypus coypus
5706727	Myocastor coypus melanops
5706725	Myocastor coypus sanctaecruzae
6066894	Georychus yatesi
6066893	Georychus buffonii
8503608	Fossor leucops
8566917	Mus buffoni
6066895	Georychus capensis canescens
9454357	Mus capensis
8446850	Sespia marianae
9178105	Lemniscomys dorsalis mearnsi
8785509	Arvicanthis dorsalis maculosus
9024368	Lemniscomys griselda sabiensis
9043272	Lemniscomys rosalia rosalia
8875524	Arvicanthis dorsalis calidior
8787179	Lemniscomys griselda sabulata
9119901	Lemniscomys griselda zuluensis
8822857	Lemniscomys rosalia spinalis
9163108	Lemniscomys rosalia calidior
7421084	Mus dorsalis
9022514	Lemniscomys griselda spinalis
7193883	Vulpes lagopus lagopus
4409353	Alopex lagopus lagopus
6545372	Canis lagopus
6164326	Vulpes lagopus beringensis
4409355	Alopex lagopus spitsbergenensis
6164325	Vulpes lagopus pribilofensis
6164327	Vulpes lagopus fuliginosus
9218485	Lagorchestes hirsutus dorreae
8805360	Lagorchestes hirsutus bernieri
8993246	Lagorchestes hirsutus hirsutus
9540314	Protemnocyon hartshornianus
4970026	Daphoenus hartshornianus
4973446	Cricetulodon meini
4970027	Daphoenodon robustum
8578001	Cavia patzelti
8684750	Propliopithecus chirobates
4971413	Helohyus lentus
8565060	Carpodaptes cygneus
4974528	Carpocristes cygneus
4971484	Conohyus indicus
9351550	Sivachoerus indicus
4975096	Leptalestes prokrejcii
9540749	Mylodon harlani
4945208	Paramylodon harlani
9494677	Glossotherium harlani
8591288	Makalata castanea
8544486	Bryanpattersonia nesodontoides
8463275	Ammodon bathrodon
9497489	Pelonax bathrodon
4971164	Xiphiacetus bossi
8502405	Ellipsodon lemuroides
4974917	Promioclaenus lemuroides
9248477	Glossotherium chapadmalensis
4945210	Glossotherium chapadmalense
8487452	Cadurcodon ardynensis
4973197	Copemys pagei
9399640	Antifer ultra
8570775	Cariacus ultra
9342787	Tinoceras galeatum
9619866	Loxalophodon galeatus
8487831	Dinohippus osborni
9320562	Hippotigris osborni
9618124	Arctocyon procyonoides
4974403	Colpoclaenus procyonoides
9344416	Claenodon procyonoides
9244935	Tomarctus rurestris
4970184	Tephrocyon rurestris
9544937	Hapalops macrognathus
4972909	Peridiomys oregonensis
9399071	Balantiomys oregonensis
9334137	Pachynolophus singularis
9316324	Hyracotherium singularis
9628926	Heptodon singularis
9129472	Anemorhysis pearcei
9329688	Cormocyon roii
4970147	Cynarctoides roii
4968754	Ctenacodon laticeps
9574864	Myotalpa capensis
4970420	Sespia nitida
9538246	Palaeomolops langstoni
4970159	Rhizocyon oregonensis
8527022	Crossarchus zebra
6066896	Georychus leucops
7564941	Leucocyon lagopus
2434532	Alopex lagopus
4974294	Oxyclaenus simplex
9519873	Stylonus stylodontus
4969316	Acritohippus stylodontus
8584047	Hypsamynodon tuskabakensis
2434552	Nyctereutes procyonoides
4974299	Oxyclaenus cuspidatus
5706833	Pteronotus personatus psilotis
5706724	Myocastor coypus bonariensis
4287939	Myocaster coypus
9398480	Myopotamus coypu
9253539	Myopotamus coypus
9359861	Protohippus spectans
9291084	Hippidion spectans
4969235	Dinohippus spectans
5706849	Pteronotus davyi fulvus
4969150	Lambdotheriidae
4826334	Amphicyonopsis
4825541	Palaeodon
4826678	Epichriacus
9251131	Sirenia
4830747	Donodontidae
4826580	Oxyclaenidae
4825517	Eoastrapostylopidae
4829687	Posteutatus
9324841	Protobradydae
4831263	Leptacotherulum
4834019	Hyrocodon
4825447	Metadeiniktis
4832927	Heterodontherium
4835849	Hystriocomys
8538802	Ganungulatum
4829713	Cephanodus
9825110	Blaria
8556859	Wirunodon
4825405	Thinolestes
3240745	Palaeocyon
4831224	Jourdanictis
792	Paucituberculata
4826355	Helieoportax
4577785	Myomorphus
4827780	Palustrimus
4832877	Hesperanthropus
8614678	Shenshou
4826989	Procercopithecus
3240641	Oromys
4829769	Tenotus
4829874	Prolatidens
4825585	Archizonurus
4825669	Lophiolemur
4831223	Ornythorinchus
4832906	Otiphoca
4825555	Epirusa
4826316	Mesamynodon
4825417	Bathyleptodon
4834564	Subunicuspidens
8682907	Arcantiodelphys
4833043	Dicyclotherium
4831181	Niphredil
4830765	Phenacops
4834671	Microselenodon
4825673	Bunaelurus
7908909	Cyclognathus
4834118	Horatiomys
4834362	Macropterodon
8315666	Haplogale
4827777	Barangia
4826993	Subcosoryx
9556694	Pantheraichnus
4830245	Palaeoceros
4831101	Hydroscapheus
4829656	Platythrix
8680068	Sivapterodon
8568387	Itatodon
3239494	Lipura
4829811	Mithrandir
4830236	Metachriacus
4826544	Aeotragus
9324490	Mosaicomeryx
4825384	Eoxerus
9133130	Pachyodon
4826620	Dicerus
733	Cetacea
4826452	Orchiomys
7843503	Alce
4834085	Eudiastatus
4829731	Pliocervus
4826673	Paleunycteris
4833046	Prohydrochoerus
4832961	Sphaeramys
4834183	Bradycebus
4826515	Catoglochis
4826587	Senetia
4833047	Patriarchippus
4831588	Trucifelis
4835844	Perieromys
3240502	Trouessartella
4826615	Protochoerus
8486846	Seuku
4826677	Spalacodon
9435972	Perizalambdodon
4826963	Hippops
8449059	Prodremotheridae
6142010	Mythomyidae
4829818	Hypsodontidae
6142021	Albertogaudryidae
4831336	Kogaionidae
8469455	Alcidedorbignyidae
8448538	Klameliidae
4832746	Pseudorhyncocyonidae
4829889	Henricosborniidae
